Day,Tank 1 # Mussel Burrowed ,Tank 2 # Mussel Burrowed ,Tank 3 # Mussel Burrowed ,Tank 4 # Mussel Burrowed ,Tank 5 # Mussel Burrowed ,Tank 6 # Mussel Burrowed ,Tank 7 # Mussel Burrowed ,Tank 8 # Mussel Burrowed ,Tank 9 # Mussel Burrowed ,Tank 10 # Mussel Burrowed ,Tank 11 # Mussel Burrowed ,Tank 12 # Mussel Burrowed 
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,2,1,0,1,3,2,0,2
3,0,0,1,0,2,2,2,2,2,4,2,3
4,2,0,3,0,1,2,2,2,2,5,2,3
5,1,0,1,0,2,1,3,2,3,5,2,4
6,0,0,0,0,0,3,2,1,3,5,3,3
7,0,0,0,1,1,4,1,2,3,5,5,4
8,1,1,0,1,1,4,1,2,4,4,5,4
9,1,1,1,0,2,4,2,2,4,4,5,4
10,2,0,2,0,3,4,3,3,4,1,5,2
11,1,0,2,0,1,2,3,2,4,2,4,2
12,0,2,1,1,3,3,3,3,4,1,4,1
13,0,2,3,2,4,2,3,3,5,2,3,5
14,1,1,1,2,4,3,4,3,5,3,4,5
15,1,0,1,1,2,3,3,2,5,2,3,5
16,1,0,1,0,3,3,4,2,4,4,4,5
17,2,1,0,0,4,3,4,2,4,5,5,5
18,0,1,0,0,4,1,4,1,2,5,5,5
19,0,0,0,0,4,2,4,2,3,5,5,5
20,1,1,0,0,2,3,2,2,5,5,5,3
21,2,0,0,1,2,3,3,2,5,5,4,4
22,1,0,0,0,3,3,3,0,5,5,5,4
23,0,0,0,0,4,3,3,0,5,5,5,5
24,0,0,1,1,3,3,2,1,5,5,5,5
25,1,0,1,0,3,4,2,3,3,5,5,5
26,1,1,0,0,3,3,3,3,3,5,4,5
27,1,1,0,1,3,3,3,3,3,5,4,5
28,2,0,1,2,2,3,3,1,4,5,4,4
29,0,0,2,2,3,3,3,2,4,4,5,4
30,1,0,1,0,3,2,3,2,5,5,5,5